Active addresses,Blocks count,Block time,CHAIN,Date(UTC),Value
1968.0,5084,16.99449252557042,Ethereum,2016-01-15T00:00:00Z,9875.0
1545.0,5046,17.122473246135552,Ethereum,2016-01-16T00:00:00Z,10664.0
1433.0,5036,17.15647339158062,Ethereum,2016-01-17T00:00:00Z,9747.0
1665.0,5072,17.034700315457414,Ethereum,2016-01-18T00:00:00Z,12916.0
1547.0,4972,17.37731295253419,Ethereum,2016-01-19T00:00:00Z,13420.0
2036.0,5038,17.149662564509725,Ethereum,2016-01-20T00:00:00Z,10610.0
1545.0,4963,17.408825307273826,Ethereum,2016-01-21T00:00:00Z,10734.0
1599.0,5007,17.25584182144997,Ethereum,2016-01-22T00:00:00Z,13848.0
1878.0,4928,17.532467532467532,Ethereum,2016-01-23T00:00:00Z,11025.0
2112.0,5168,16.71826625386997,Ethereum,2016-01-24T00:00:00Z,12798.0
2226.0,4881,17.701290719114937,Ethereum,2016-01-25T00:00:00Z,17121.0
2350.0,5152,16.770186335403725,Ethereum,2016-01-26T00:00:00Z,16511.0
2080.0,4983,17.338952438290185,Ethereum,2016-01-27T00:00:00Z,18747.0
2090.0,5059,17.078474006720697,Ethereum,2016-01-28T00:00:00Z,16765.0
2021.0,4981,17.34591447500502,Ethereum,2016-01-29T00:00:00Z,16395.0
1992.0,5017,17.221447079928243,Ethereum,2016-01-30T00:00:00Z,14661.0
2100.0,4872,17.733990147783253,Ethereum,2016-01-31T00:00:00Z,14166.0
2063.0,5015,17.228315054835495,Ethereum,2016-02-01T00:00:00Z,14199.0
2011.0,4955,17.43693239152371,Ethereum,2016-02-02T00:00:00Z,14291.0
2027.0,5199,16.61858049624928,Ethereum,2016-02-03T00:00:00Z,14274.0
1991.0,5062,17.068352429869616,Ethereum,2016-02-04T00:00:00Z,14371.0
2046.0,5046,17.122473246135552,Ethereum,2016-02-05T00:00:00Z,15249.0
1949.0,4987,17.32504511730499,Ethereum,2016-02-06T00:00:00Z,31418.0
2142.0,5087,16.984470218203263,Ethereum,2016-02-07T00:00:00Z,14264.0
2318.0,5071,17.038059554328534,Ethereum,2016-02-08T00:00:00Z,14719.0
2479.0,5055,17.0919881305638,Ethereum,2016-02-09T00:00:00Z,15517.0
3265.0,4961,17.415843579923404,Ethereum,2016-02-10T00:00:00Z,17141.0
3390.0,5019,17.214584578601315,Ethereum,2016-02-11T00:00:00Z,21440.0
3304.0,5033,17.166699781442478,Ethereum,2016-02-12T00:00:00Z,18109.0
3071.0,5093,16.96446102493619,Ethereum,2016-02-13T00:00:00Z,19327.0
2653.0,4990,17.314629258517034,Ethereum,2016-02-14T00:00:00Z,16624.0
2765.0,4975,17.366834170854272,Ethereum,2016-02-15T00:00:00Z,17159.0
2749.0,5025,17.19402985074627,Ethereum,2016-02-16T00:00:00Z,17549.0
2698.0,4857,17.78875849289685,Ethereum,2016-02-17T00:00:00Z,19990.0
2726.0,4999,17.283456691338266,Ethereum,2016-02-18T00:00:00Z,16969.0
2653.0,5033,17.166699781442478,Ethereum,2016-02-19T00:00:00Z,18412.0
2526.0,5051,17.10552365868145,Ethereum,2016-02-20T00:00:00Z,16714.0
