Date(UTC),PRICE,TOKEN
2017-09-08,320.18634966905785,Ethereum (ETH)
2017-09-09,302.69076280007755,Ethereum (ETH)
2017-09-10,294.3012582921612,Ethereum (ETH)
2017-09-11,297.1759005422175,Ethereum (ETH)
2017-09-12,302.73333256453174,Ethereum (ETH)
2017-09-13,275.5030169460973,Ethereum (ETH)
2017-09-14,253.91955198482884,Ethereum (ETH)
2017-09-15,237.2545347013189,Ethereum (ETH)
2017-09-16,257.8690116681209,Ethereum (ETH)
2017-09-17,252.7330402491098,Ethereum (ETH)
2017-09-18,287.750843733644,Ethereum (ETH)
2017-09-19,286.98685812305865,Ethereum (ETH)
2017-09-20,286.01925327736075,Ethereum (ETH)
2017-09-21,275.71124270267336,Ethereum (ETH)
2017-09-22,261.5693270411839,Ethereum (ETH)
2017-09-23,274.57282992199447,Ethereum (ETH)
2017-09-24,284.6456680073955,Ethereum (ETH)
2017-09-25,290.63652840980893,Ethereum (ETH)
2017-09-26,291.70002824028364,Ethereum (ETH)
2017-09-27,296.6874498832826,Ethereum (ETH)
2017-09-28,304.0542107795008,Ethereum (ETH)
2017-09-29,292.1247745627535,Ethereum (ETH)
2017-09-30,300.97997198937134,Ethereum (ETH)
2017-10-01,300.1494619676279,Ethereum (ETH)
2017-10-02,299.16273058683834,Ethereum (ETH)
2017-10-03,292.82631747540154,Ethereum (ETH)
2017-10-04,292.8619689512076,Ethereum (ETH)
2017-10-05,292.7365567057132,Ethereum (ETH)
2017-10-06,300.138455011627,Ethereum (ETH)
2017-10-07,308.8389546581306,Ethereum (ETH)
2017-10-08,311.51535812335203,Ethereum (ETH)
2017-10-09,301.65688048379303,Ethereum (ETH)
2017-10-10,299.3914170715548,Ethereum (ETH)
2017-10-11,301.1644456352763,Ethereum (ETH)
2017-10-12,305.4017424030272,Ethereum (ETH)
2017-10-13,326.3167101012207,Ethereum (ETH)
2017-10-14,341.49427136574644,Ethereum (ETH)
2017-10-15,332.1042663839916,Ethereum (ETH)
2017-10-16,339.8165480273024,Ethereum (ETH)
2017-10-17,323.9510245243749,Ethereum (ETH)
2017-10-18,304.5915607036743,Ethereum (ETH)
2017-10-19,309.0066181182364,Ethereum (ETH)
2017-10-20,306.3624053426981,Ethereum (ETH)
2017-10-21,297.7145386447528,Ethereum (ETH)
2017-10-22,295.8753249101754,Ethereum (ETH)
2017-10-23,284.94474812668915,Ethereum (ETH)
2017-10-24,303.3269557468208,Ethereum (ETH)
2017-10-25,295.4651251611187,Ethereum (ETH)
2017-10-26,296.2920140784184,Ethereum (ETH)
2017-10-27,295.90000116438443,Ethereum (ETH)
2017-10-28,294.2034828772749,Ethereum (ETH)
2017-10-29,301.39946788983525,Ethereum (ETH)
2017-10-30,307.1220088786361,Ethereum (ETH)
2017-10-31,307.96543293535785,Ethereum (ETH)
2017-11-01,299.2290003745041,Ethereum (ETH)
2017-11-02,285.0439331489333,Ethereum (ETH)
2017-11-03,295.15156052792923,Ethereum (ETH)
2017-11-04,300.5049765622286,Ethereum (ETH)
2017-11-05,297.8895450596948,Ethereum (ETH)
2017-11-06,297.7771194266197,Ethereum (ETH)
2017-11-07,295.648898846633,Ethereum (ETH)
2017-11-08,300.8409060722036,Ethereum (ETH)
2017-11-09,317.63759163673143,Ethereum (ETH)
2017-11-10,310.0454118931,Ethereum (ETH)
2017-11-11,305.5036959745128,Ethereum (ETH)
2017-11-12,306.7633806389198,Ethereum (ETH)
2017-11-13,312.6763150238372,Ethereum (ETH)
2017-11-14,325.53823936012355,Ethereum (ETH)
2017-11-15,332.727473794894,Ethereum (ETH)
2017-11-16,327.8967975230144,Ethereum (ETH)
2017-11-17,330.7071343728411,Ethereum (ETH)
2017-11-18,333.6864555368531,Ethereum (ETH)
2017-11-19,354.6103602417337,Ethereum (ETH)
2017-11-20,361.09732034678825,Ethereum (ETH)
2017-11-21,364.89496152135166,Ethereum (ETH)
2017-11-22,366.3083419174693,Ethereum (ETH)
2017-11-23,398.3262237533843,Ethereum (ETH)
2017-11-24,430.29918391030577,Ethereum (ETH)
2017-11-25,468.2764742983553,Ethereum (ETH)
2017-11-26,459.9845096984708,Ethereum (ETH)
2017-11-27,475.4253489518238,Ethereum (ETH)
2017-11-28,470.14600895735055,Ethereum (ETH)
2017-11-29,469.629974111259,Ethereum (ETH)
2017-11-30,431.8277788972378,Ethereum (ETH)
2017-12-01,441.2841239613544,Ethereum (ETH)
2017-12-02,461.5360822459169,Ethereum (ETH)
2017-12-03,467.3053370955602,Ethereum (ETH)
2017-12-04,461.4704992977047,Ethereum (ETH)
2017-12-05,460.6465073510764,Ethereum (ETH)
2017-12-06,440.3493853909397,Ethereum (ETH)
2017-12-07,422.2378284482695,Ethereum (ETH)
2017-12-08,438.2452065145068,Ethereum (ETH)
2017-12-09,473.6704072107044,Ethereum (ETH)
2017-12-10,444.180621990701,Ethereum (ETH)
2017-12-11,464.89132038719583,Ethereum (ETH)
2017-12-12,562.2723989554547,Ethereum (ETH)
2017-12-13,669.8620904381562,Ethereum (ETH)
2017-12-14,707.0960660727455,Ethereum (ETH)
2017-12-15,667.6436039638625,Ethereum (ETH)
2017-12-16,692.9329145060124,Ethereum (ETH)
2017-12-17,715.5390193488088,Ethereum (ETH)
2017-12-18,730.970550513463,Ethereum (ETH)
2017-12-19,819.9299177182256,Ethereum (ETH)
2017-12-20,790.6268450714758,Ethereum (ETH)
2017-12-21,804.9749350972462,Ethereum (ETH)
2017-12-22,662.1067468064621,Ethereum (ETH)
2017-12-23,706.3483440996362,Ethereum (ETH)
2017-12-24,648.7416012578846,Ethereum (ETH)
2017-12-25,715.2969046752122,Ethereum (ETH)
2017-12-26,742.2346881299867,Ethereum (ETH)
2017-12-27,746.4127153104123,Ethereum (ETH)
2017-12-28,702.0092279259425,Ethereum (ETH)
2017-12-29,735.0309740521931,Ethereum (ETH)
2017-12-30,700.2856933127005,Ethereum (ETH)
2017-12-31,718.4431882227403,Ethereum (ETH)
2018-01-01,746.2943686367196,Ethereum (ETH)
2018-01-02,847.9415798880295,Ethereum (ETH)
2018-01-03,884.6395111424782,Ethereum (ETH)
2018-01-04,950.1463964762394,Ethereum (ETH)
2018-01-05,978.5399751516214,Ethereum (ETH)
2018-01-06,995.3736441889451,Ethereum (ETH)
2018-01-07,1074.9260270968614,Ethereum (ETH)
2018-01-08,1144.6447017239543,Ethereum (ETH)
2018-01-09,1210.5939964173497,Ethereum (ETH)
2018-01-10,1312.3904186966338,Ethereum (ETH)
2018-01-11,1218.2094787200322,Ethereum (ETH)
2018-01-12,1223.589558089888,Ethereum (ETH)
2018-01-13,1346.0374913265357,Ethereum (ETH)
2018-01-14,1339.7228953469323,Ethereum (ETH)
2018-01-15,1323.886448211043,Ethereum (ETH)
2018-01-16,1122.971925292977,Ethereum (ETH)
2018-01-17,943.316912190488,Ethereum (ETH)
2018-01-18,1033.109695547137,Ethereum (ETH)
2018-01-19,1041.326478520206,Ethereum (ETH)
2018-01-20,1117.970043568859,Ethereum (ETH)
2018-01-21,1078.588126672746,Ethereum (ETH)
2018-01-22,1020.8136850203156,Ethereum (ETH)
2018-01-23,977.8925212610914,Ethereum (ETH)
2018-01-24,1009.5185889974856,Ethereum (ETH)
2018-01-25,1064.1239691657831,Ethereum (ETH)
