Date(UTC),send_amount,stable,tvl
2018-02-12T00:00:00+00:00,0.0,Other,0.0
2018-02-12T00:00:00+00:00,0.0,USDC,0.0
2018-02-12T00:00:00+00:00,437059.75009,USDT,0.0
2018-02-13T00:00:00+00:00,1818271.9237380007,USDT,0.0
2018-02-13T00:00:00+00:00,0.0,USDC,0.0
2018-02-13T00:00:00+00:00,0.0,Other,0.0
2018-02-13T00:00:00+00:00,0.0,DAI,0.0
2018-02-13T00:00:00+00:00,0.0,BUSD,0.0
2018-02-13T00:00:00+00:00,0.0,FRAX,0.0
2018-02-14T00:00:00+00:00,0.0,BUSD,0.0
2018-02-14T00:00:00+00:00,0.0,DAI,0.0
2018-02-14T00:00:00+00:00,0.0,FRAX,0.0
2018-02-14T00:00:00+00:00,0.0,Other,0.0
2018-02-14T00:00:00+00:00,0.0,USDC,0.0
